bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
513,427,4,388,78,162,710,6676,254,507,228,892,525,170,145,330,423,138,284,967,50,24,279,296,32,333,358,9454,2120,566,219,4830,1627,56,57,1400,913,1168,1500,24,4079,616,86866,22562,8944,8161,3890,1446,5,19955,2675,3575,3406,14234,1370,13033,1072,2213,5728,2703,1286,714,785,1411,5033,8420,5598,7562,5302,788,65442,1429
514,0,0,83,14,16,4975,4950,1309,1702,1278,2624,2012,218,768,783,1415,717,820,2712,143,38,1541,438,158,525,771,7472,10093,2298,1392,18069,916,1,0,264,231,141,1405,152,6463,222,5184,31467,23358,13069,2874,4945,1,2467,2065,5960,10155,26202,2164,47488,2927,5874,3154,6047,577,1415,1789,2306,1410,23997,14852,3352,10016,649,63416,6458
521CI,5676,631,2908,957,672,8362,15385,1275,1251,1800,2424,2026,4010,1599,4404,1010,835,2329,4517,320,552,1361,776,627,5390,2329,44519,6589,2915,2415,12929,2346,6039,707,2545,7109,2957,3785,332,8249,3464,18163,10513,86924,89508,813,5168,149013,107523,22621,2584,5111,21704,31891,10365,1203,2027,8448,7500,1322,1277,1556,2978,7553,13324,14584,0,19699,1284,28949,6143
523,465,12,2355,2981,8050,762,3188,50,92,2849,3106,2088,123,727,2617,542,788,889,156,5,1,37,34,20,25,103,4861,209,437,1116,1041,3849,579,1661,473,5918,392,2285,61,344,928,199,211,58015,68058,3210,173145,4,13933,8858,746,962,3597,16138,2299,68,804,2773,20395,650,3613,2060,200,8436,11872,5417,0,16,22,11915,8191
524,4391,395,3942,868,1930,1882,842,393,1474,860,1358,1510,239,1281,4321,915,505,557,5209,251,58,547,84,250,2125,916,53756,5963,1726,1457,11046,1414,47,1281,19922,25329,663,5087,2826,439,1573,1950,1585,8534,21333,487730,14279,16102,86295,20324,3245,3562,13444,625,11472,1908,2797,20893,24196,5300,11988,4160,3434,1866,13490,4819,0,1268,7652,4793,17893
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6759,12567,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,2040,0
HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,3039,32,2988,273,655,7398,37412,1022,1536,704,7318,2555,7386,1459,2320,1924,1612,2141,6657,549,188,2397,2455,161,6614,3863,135358,39533,35625,20000,160241,617,263,1503,11712,6612,680,8372,12073,14479,5524,43945,22819,34270,56809,31230,1416,6219,234838,23800,23739,12363,92448,52655,37278,5340,51588,82871,116729,41034,20741,20295,33626,4658,101263,121891,820,17356,1006,27975,3766
532RL,3056,83,4939,2689,3162,2583,41692,408,1304,1161,3099,1856,616,1021,9128,1089,331,1062,5610,81,2616,1691,613,670,4907,1550,49607,1915,2190,5113,12945,18226,8822,11634,30069,2435,67,2687,1166,3343,1166,11279,19370,5338,15567,3059,37,6579,5084,26839,2936,6828,29450,39553,12397,3692,2408,8274,5201,628,872,4475,3951,4362,37825,3426,730,688,179,14797,1645
5411,524,67,1008,552,210,5556,12007,674,651,975,2409,1723,6324,385,2949,1758,342,1767,1642,152,119,1014,498,220,5457,1496,22792,1123,816,632,6788,334,1079,282,339,508,107,703,465,6672,1363,3711,13119,7857,18490,15811,3135,2599,15250,1646,3377,5341,22909,12948,8946,693,524,6894,23414,2163,1151,3652,3277,1431,3709,8800,0,208,77,21871,2480
