hts10,cty_code,usmca_share
0207603000,2010,0
0207604000,1220,0
0207604000,2010,0
0207606020,1220,0
0207606020,2010,0
0207606040,1220,0
0207606040,2010,0
0208100000,1220,1
0208100000,2010,0
0208300000,1220,0
0208300000,2010,0
0208400100,1220,0
0208400100,2010,0
0208500000,1220,0
0208500000,2010,0
0208600000,1220,0
0208600000,2010,0
0208902000,1220,0.5826517868
0208902000,2010,0
0208902500,1220,0
0208902500,2010,0
0208903000,1220,1
0208903000,2010,0
0208909100,1220,0.9983085681
0208909100,2010,0
0209100000,1220,0.9981088162
0209100000,2010,0
0209900000,1220,1
0209900000,2010,0
0210110010,1220,0
0210110010,2010,0
0210110020,1220,1
0210110020,2010,1
0210120020,1220,1
0210120020,2010,1
0210120040,1220,1
0210120040,2010,0
0210190010,1220,1
0210190010,2010,0
0210190090,1220,0.9962991958
0210190090,2010,1
0210200000,1220,0.5234559587
0210200000,2010,0
0210910000,1220,0
0210910000,2010,0
0210920100,1220,0
0210920100,2010,0
0210930000,1220,0
0210930000,2010,0
0210992000,1220,1
0210992000,2010,0
0210999100,1220,0
0210999100,2010,0
0301110010,1220,0
0301110010,2010,0
0301110020,1220,0
0301110020,2010,0
0301110090,1220,0.611439829
0301110090,2010,0.5245756892
0301190000,1220,0
0301190000,2010,0
0301910000,1220,0
0301910000,2010,0
0301920000,1220,0.896718368
0301920000,2010,0
0301930210,1220,0
0301930210,2010,0
0301930290,1220,0
0301930290,2010,0.7207389854
0301940100,1220,0
0301940100,2010,0
0301950000,1220,0
0301950000,2010,0
0301990310,1220,0
0301990310,2010,0
0301990315,1220,0
0301990315,2010,0
0301990390,1220,0.3635397986
0301990390,2010,0.6026552019
0302110010,1220,0.1115830961
0302110010,2010,0.6372823049
0302110090,1220,0.6297230071
0302110090,2010,0
0302130013,1220,0.4919811126
0302130013,2010,0
0302130014,1220,0.8041411351
0302130014,2010,0
0302130022,1220,0.8480100834
0302130022,2010,0
0302130032,1220,1
0302130032,2010,0
0302130042,1220,0.9411140923
0302130042,2010,0
0302130053,1220,0
0302130053,2010,0
0302130054,1220,1
0302130054,2010,0
0302130062,1220,0
0302130062,2010,0
0302140003,1220,0.4787640126
0302140003,2010,0
0302140004,1220,1
0302140004,2010,0
0302140062,1220,0
0302140062,2010,0
0302190000,1220,0.4540852506
0302190000,2010,0
0302210010,1220,0.5290151232
0302210010,2010,0
