State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,3115 Dairy Products,Taiwan,2024,"2,165"
Alabama,3115 Dairy Products,Vietnam,2024,"144,633"
Alabama,3116 Meat Products & Meat Packaging Products,Brazil,2024,"6,576"
Alabama,3116 Meat Products & Meat Packaging Products,Cambodia,2024,"687,565"
Alabama,3116 Meat Products & Meat Packaging Products,Canada,2024,"4,079,286"
Alabama,3116 Meat Products & Meat Packaging Products,China,2024,"4,085,069"
Alabama,3116 Meat Products & Meat Packaging Products,Germany,2024,"17,221,497"
Alabama,3116 Meat Products & Meat Packaging Products,India,2024,"157,840"
Alabama,3116 Meat Products & Meat Packaging Products,Japan,2024,373
Alabama,3116 Meat Products & Meat Packaging Products,Mexico,2024,"3,554,864"
Alabama,3116 Meat Products & Meat Packaging Products,Serbia,2024,"3,826,323"
Alabama,3116 Meat Products & Meat Packaging Products,Spain,2024,"9,657,090"
Alabama,3116 Meat Products & Meat Packaging Products,Thailand,2024,"6,116,328"
Alabama,3116 Meat Products & Meat Packaging Products,United Kingdom,2024,"96,959"
Alabama,3116 Meat Products & Meat Packaging Products,Vietnam,2024,"1,329,286"
Alabama,"3117 Seafood Prods, Prepared, Canned & Packaged",Chile,2024,"521,170"
Alabama,"3117 Seafood Prods, Prepared, Canned & Packaged",Indonesia,2024,"360,418"
Alabama,"3117 Seafood Prods, Prepared, Canned & Packaged",Norway,2024,"378,000"
Alabama,"3117 Seafood Prods, Prepared, Canned & Packaged",Thailand,2024,"142,053"
Alabama,3118 Bakery & Tortilla Products,Canada,2024,"48,145,205"
Alabama,3118 Bakery & Tortilla Products,China,2024,"425,113"
Alabama,3118 Bakery & Tortilla Products,Costa Rica,2024,"247,402"
Alabama,3118 Bakery & Tortilla Products,Denmark,2024,"776,882"
Alabama,3118 Bakery & Tortilla Products,Germany,2024,"548,354"
Alabama,3118 Bakery & Tortilla Products,Guatemala,2024,"2,170"
Alabama,3118 Bakery & Tortilla Products,India,2024,"279,770"
Alabama,3118 Bakery & Tortilla Products,Italy,2024,"598,333"
Alabama,3118 Bakery & Tortilla Products,Mexico,2024,"221,723"
Alabama,3118 Bakery & Tortilla Products,Poland,2024,"396,466"
Alabama,3118 Bakery & Tortilla Products,Portugal,2024,"1,123,948"
Alabama,"3119 Foods, Nesoi",Argentina,2024,"863,832"
Alabama,"3119 Foods, Nesoi",Brazil,2024,"5,070"
Alabama,"3119 Foods, Nesoi",Canada,2024,"9,130,378"
Alabama,"3119 Foods, Nesoi",China,2024,"1,135,684"
Alabama,"3119 Foods, Nesoi",Costa Rica,2024,"111,284"
Alabama,"3119 Foods, Nesoi",Egypt,2024,"63,374"
Alabama,"3119 Foods, Nesoi",France,2024,"10,348"
Alabama,"3119 Foods, Nesoi",Germany,2024,"1,906,860"
Alabama,"3119 Foods, Nesoi",India,2024,"2,503,928"
Alabama,"3119 Foods, Nesoi",Italy,2024,"4,837"
Alabama,"3119 Foods, Nesoi",Mexico,2024,"1,596,180"
Alabama,"3119 Foods, Nesoi",Norway,2024,"960,640"
Alabama,"3119 Foods, Nesoi",Philippines,2024,"6,447,724"
Alabama,"3119 Foods, Nesoi",Spain,2024,"147,537"
Alabama,"3119 Foods, Nesoi",Sri Lanka,2024,"1,213,141"
Alabama,"3119 Foods, Nesoi",Taiwan,2024,"8,570"
Alabama,"3119 Foods, Nesoi",Turkey,2024,"595,501"
Alabama,"3119 Foods, Nesoi",Vietnam,2024,"2,140,021"
Alabama,3121 Beverages,Argentina,2024,"37,947"
Alabama,3121 Beverages,Australia,2024,"2,330,845"
Alabama,3121 Beverages,Canada,2024,"10,377,151"
Alabama,3121 Beverages,Chile,2024,"45,414"
Alabama,3121 Beverages,France,2024,"2,807,709"
Alabama,3121 Beverages,Germany,2024,"417,106"
Alabama,3121 Beverages,Guatemala,2024,"74,714"
Alabama,3121 Beverages,Italy,2024,"15,024,604"
Alabama,3121 Beverages,Japan,2024,"17,125"
Alabama,3121 Beverages,"Korea, South",2024,"2,599"
Alabama,3121 Beverages,Lebanon,2024,"17,397"
Alabama,3121 Beverages,Mexico,2024,"605,144"
Alabama,3121 Beverages,Netherlands,2024,"17,245"
Alabama,3121 Beverages,New Zealand,2024,"1,473,924"
Alabama,3121 Beverages,Portugal,2024,"17,883"
Alabama,3121 Beverages,Spain,2024,"1,185,662"
Alabama,3121 Beverages,Sweden,2024,"827,845"
Alabama,3121 Beverages,United Kingdom,2024,"9,030"
Alabama,3121 Beverages,Vietnam,2024,"37,942"
Alabama,3122 Tobacco Products,Sweden,2024,"2,161"
Alabama,"3131 Fibers, Yarns & Threads",Canada,2024,"2,954,322"
Alabama,"3131 Fibers, Yarns & Threads",China,2024,"49,047"
Alabama,"3131 Fibers, Yarns & Threads",France,2024,"45,041"
Alabama,"3131 Fibers, Yarns & Threads",Germany,2024,"4,016"
Alabama,"3131 Fibers, Yarns & Threads",India,2024,"1,042,683"
Alabama,"3131 Fibers, Yarns & Threads",Indonesia,2024,"159,302"
Alabama,"3131 Fibers, Yarns & Threads",Italy,2024,"3,048"
Alabama,"3131 Fibers, Yarns & Threads",Japan,2024,612
Alabama,"3131 Fibers, Yarns & Threads","Korea, South",2024,"46,733"
Alabama,"3131 Fibers, Yarns & Threads",Pakistan,2024,"8,207,374"
Alabama,"3131 Fibers, Yarns & Threads",Peru,2024,"35,294"
Alabama,"3131 Fibers, Yarns & Threads",South Africa,2024,"1,218"
Alabama,"3131 Fibers, Yarns & Threads",Spain,2024,"33,341"
Alabama,"3131 Fibers, Yarns & Threads",Taiwan,2024,848
